Name,Team,Nationality,Matches,Bat- Not Out,Bat-Runs,Bat-Highest Score,Bat- Average,Bat- Balls Faced,Bat-Strike Rate,100,50,4s,6s,Catches,Stumpings,Bowl-Balls,Bowl-Runs Conceded,Bowl-Wickets,Bowl-Best Figures,Bowl-Average,Bowl-Economy,Bowl-Strike Rate,4W,5W
Rohit Sharma (c),MI,Indian,188,28,4898,109*,31.6,"3,744",130.82,1,36,431,194,83,0,332,440,15,04-Jun,29.33,7.95,22.13,1,0
Digvijay Deshmukh,MI,Indian,,,,,,,,,,,,,,,,,,,,,,
Quinton de Kock,MI,South African,50,2,1456,108,30.33,"1,109",131.28,1,10,155,54,31,8,0,0,0,,,,,0,0
Aditya Tare,MI,Indian,35,4,339,59,14.12,273,124.17,0,1,40,11,3,5,0,0,0,,,,,0,0
Saurabh Tiwary,MI,Indian,81,19,1276,61,28.35,"1,067",119.58,0,7,93,45,23,0,0,0,0,,,,,0,0
Jasprit Bumrah,MI,Indian,77,10,35,16*,11.66,38,92.1,0,0,2,1,9,0,"1,732","2,181",82,03-Jul,26.59,7.55,21.12,0,0
Dhawal Kulkarni,MI,Indian,90,13,97,28*,10.77,105,92.38,0,0,6,2,22,0,"1,745","2,404",86,Apr-14,27.95,8.26,20.29,1,0
James Pattinson,MI,Australian,,,,,,,,,,,,,,,,,,,,,,
Nathan Coulter-Nile,MI,Australian,26,4,52,9,5.77,50,104,0,0,3,4,8,0,563,719,36,Apr-20,19.97,7.66,15.63,1,0
Trent Boult,MI,New Zealander,33,3,12,6,6,14,85.71,0,0,0,1,14,0,765,"1,120",38,Mar-19,29.47,8.78,20.13,0,0
Jayant Yadav,MI,Indian,12,0,6,5,3,10,60,0,0,0,0,4,0,222,246,5,01-Aug,49.2,6.64,44.4,0,0
Suryakumar Yadav,MI,Indian,85,16,1548,72,28.14,"1,173",131.96,0,7,161,47,42,0,6,8,0,,,8,,0,0
Krunal Pandya,MI,Indian,55,14,891,86,26.2,610,146.06,0,1,86,35,18,0,944,"1,128",40,Mar-14,28.2,7.16,23.6,0,0
Kieron Pollard,MI,West Indian,148,39,2755,83,28.69,"1,877",146.77,0,14,181,176,82,0,"1,199","1,770",56,Apr-44,31.6,8.85,21.41,1,0
Rahul Chahar,MI,Indian,16,3,15,10,7.5,13,115.38,0,0,2,0,4,0,324,366,15,Mar-19,24.4,6.77,21.6,0,0
Chris Lynn,MI,Australian,41,3,1280,93*,33.68,910,140.65,0,10,128,63,10,0,0,0,0,,,,,0,0
Hardik Pandya,MI,Indian,66,24,1068,91,28.86,690,154.78,0,3,72,68,43,0,869,"1,313",42,Mar-20,31.26,9.06,20.69,0,0
Sherfane Rutherford,MI,West Indian,7,2,73,28*,14.6,54,135.18,0,0,2,7,5,0,41,59,1,01-Jun,59,8.63,41,0,0
Anmolpreet Singh,MI,Indian,,,,,,,,,,,,,,,,,,,,,,
Mohsin Khan,MI,Indian,,,,,,,,,,,,,,,,,,,,,,
Mitchell McClenaghan,MI,New Zealander,56,11,85,20,6.53,70,121.42,0,0,5,7,1,0,"1,274","1,803",71,Apr-21,25.39,8.49,17.94,1,0
Prince Balwant Rai Singh,MI,Indian,,,,,,,,,,,,,,,,,,,,,,
Anukul Roy,MI,Indian,1,0,0,0*,,0,,0,0,0,0,0,0,12,11,1,01-Nov,11,5.5,12,0,0
Ishan Kishan,MI,Indian,37,0,695,62,21.06,531,130.88,0,3,64,34,15,2,0,0,0,,,,,0,0
